ID,Kategori,Sub_Kategori,Tahap,Soalan,Pilihan_A,Pilihan_B,Pilihan_C,Pilihan_D,Penerangan
186,Dunia,Benua (Afrika),SUKAR,"Apakah nama rekahan geologi besar yang terbentang dari utara Syria hingga ke tengah Mozambique di Afrika Timur?","Lembah Rengkahan Besar (Great Rift Valley)","Jurang Mariana","Ngarai San Andreas","Lurah Kematian (Death Valley)","Lembah Rengkahan Besar adalah satu siri parit geografi yang panjang, hasil daripada pemisahan plat tektonik Afrika dan Arab."
187,Dunia,Benua (Afrika),SUKAR,"Timbuktu, sebuah bandar yang pernah menjadi pusat perdagangan dan keilmuan Islam yang penting, terletak di negara moden...","Mali","Niger","Nigeria","Chad","Pada zaman kegemilangannya, Timbuktu adalah pusat penyebaran ilmu Islam yang utama di Afrika."
188,Dunia,Benua (Amerika Utara),SUKAR,"Greenland, pulau terbesar di dunia, adalah wilayah autonomi di bawah kerajaan...","Denmark","Kanada","Iceland","Norway","Walaupun secara geografi sebahagian daripada benua Amerika Utara, Greenland mempunyai hubungan politik dan budaya dengan Eropah."
189,Dunia,Benua (Amerika Selatan),SUKAR,"Air terjun tertinggi di dunia, Air Terjun Angel, terletak di negara...","Venezuela","Brazil","Colombia","Argentina","Air Terjun Angel mempunyai ketinggian 979 meter dan terjunan tanpa gangguan setinggi 807 meter."
190,Dunia,Benua (Oceania),SUKAR,"Uluru, juga dikenali sebagai Ayers Rock, adalah sebuah formasi batu pasir besar yang dianggap suci oleh orang Aborigin. Ia terletak di...","Kawasan Pedalaman (Outback) Australia","Pulau Utara New Zealand","Pulau Tasmania","Papua New Guinea","Uluru terletak di Wilayah Utara Australia dan terkenal kerana warnanya yang berubah-ubah pada waktu matahari terbit dan terbenam."
191,Dunia,Benua (Antartika),SUKAR,"Perjanjian Antartika yang ditandatangani pada tahun 1959 menetapkan bahawa benua itu hanya boleh digunakan untuk tujuan...","Penyelidikan saintifik yang aman","Perlombongan komersial","Ujian ketenteraan","Pelancongan tanpa had","Perjanjian itu melarang aktiviti ketenteraan dan perlombongan mineral, serta menggalakkan kebebasan penyelidikan saintifik untuk keamanan."
192,Dunia,Lautan Dunia,SUKAR,"Jurang Mariana (Mariana Trench), titik terdalam di semua lautan dunia, terletak di...","Lautan Pasifik","Lautan Atlantik","Lautan Hindi","Lautan Artik","Challenger Deep di dalam Jurang Mariana adalah titik paling dalam yang diketahui di hidrosfera Bumi."
193,Dunia,Organisasi Antarabangsa,SUKAR,"Mahkamah Keadilan Antarabangsa (ICJ), badan kehakiman utama PBB, berpusat di bandar...","The Hague, Belanda","Geneva, Switzerland","New York, Amerika Syarikat","Brussels, Belgium","The Hague sering dirujuk sebagai 'ibu kota undang-undang antarabangsa' kerana ia menempatkan banyak mahkamah dan tribunal antarabangsa."
194,Dunia,Organisasi Antarabangsa,SUKAR,"Apakah tujuan utama OPEC (Organization of the Petroleum Exporting Countries)?","Menyelaraskan dan menyatukan dasar petroleum negara anggota","Menggalakkan perdagangan bebas di seluruh dunia","Menetapkan harga untuk semua komoditi tenaga","Menyediakan bantuan kemanusiaan kepada negara miskin","OPEC ditubuhkan untuk menyelaraskan dasar-dasar berkaitan pengeluaran dan harga minyak mentah di kalangan negara-negara pengeluar minyak utama."
195,Dunia,Benua (Eropah),SUKAR,"Chernobyl, tapak kemalangan nuklear terburuk dalam sejarah, terletak di negara moden...","Ukraine","Rusia","Belarus","Lithuania","Pada tahun 1986, Loji Kuasa Nuklear Chernobyl di Ukraine (ketika itu sebahagian daripada Kesatuan Soviet) mengalami letupan dahsyat."
196,Dunia,Benua (Afrika),SUKAR,"Kerajaan Aksum, sebuah kuasa perdagangan maritim yang penting pada zaman purba, berpusat di kawasan yang kini adalah negara...","Ethiopia dan Eritrea","Mesir dan Sudan","Nigeria dan Cameroon","Afrika Selatan dan Zimbabwe","Kerajaan Aksum adalah pemain utama dalam laluan perdagangan antara Empayar Rom dan India kuno."
197,Dunia,Benua (Amerika Selatan),SUKAR,"Bahasa rasmi yang paling banyak dituturkan di Amerika Selatan ialah...","Bahasa Sepanyol","Bahasa Portugis","Bahasa Inggeris","Bahasa Perancis","Walaupun Brazil (yang berbahasa Portugis) adalah negara terbesar, lebih banyak negara di Amerika Selatan menggunakan Bahasa Sepanyol sebagai bahasa rasmi."
198,Dunia,Lautan Dunia,SUKAR,"Arus Teluk (Gulf Stream) adalah arus lautan yang kuat dan hangat di Lautan Atlantik yang sangat mempengaruhi iklim di...","Pesisir timur Amerika Utara dan Eropah Barat","Pesisir barat Amerika Selatan","Asia Tenggara","Australia Timur","Arus Teluk membawa air hangat dari Teluk Mexico ke Atlantik, menjadikan iklim di Eropah Barat lebih sederhana daripada yang sepatutnya."
199,Dunia,Benua (Oceania),SUKAR,"Negara manakah di Oceania yang terdiri daripada dua daratan utama (Pulau Utara dan Pulau Selatan) dan banyak pulau kecil?","New Zealand","Australia","Papua New Guinea","Fiji","Dua pulau utama New Zealand dipisahkan oleh Selat Cook."
200,Dunia,Benua (Eropah),SUKAR,"Interlaken adalah sebuah bandar peranginan popular yang terletak di antara dua tasik di negara pergunungan...","Switzerland","Austria","Jerman","Itali","Nama 'Interlaken' bermaksud 'antara tasik' (Tasik Thun dan Tasik Brienz) dan ia terletak di kawasan pergunungan Bernese Oberland di Switzerland."
