id,kategori,subKategori,tahap,soalan,pilihan_A,pilihan_B,pilihan_C,pilihan_D,penerangan
156,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Mesir terletak di benua mana?","Afrika","Asia","Eropah","Amerika Selatan","Mesir disenaraikan di bawah sub-kategori Afrika Utara dalam Benua Afrika."
157,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Kanada terletak di benua mana?","Amerika Utara","Amerika Selatan","Eropah","Asia","Kanada disenaraikan sebagai salah satu negara utama di Benua Amerika Utara."
158,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Brazil terletak di benua mana?","Amerika Selatan","Amerika Utara","Afrika","Oceania","Brazil disenaraikan dalam senarai negara-negara Benua Amerika Selatan."
159,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Perancis terletak di benua mana?","Eropah","Asia","Afrika","Amerika Utara","Perancis disenaraikan di bawah sub-kategori Eropah Barat dalam Benua Eropah."
160,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Australia adalah negara utama di benua...?","Oceania","Asia","Antartika","Amerika Selatan","Australia disenaraikan sebagai negara utama di Benua Oceania."
161,Pengetahuan Geografi Dunia,Benua,MUDAH,"Benua manakah yang dinyatakan 'TIADA NEGARA' di dalamnya?","Benua Antartika","Benua Oceania","Benua Amerika Selatan","Benua Afrika","Nota untuk Benua Antartika di muka surat 24 menyatakan 'TIADA NEGARA'."
162,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"India terletak di rantau mana di Asia?","Asia Selatan","Asia Timur","Asia Tenggara","Asia Tengah","Buku ini meletakkan India dalam senarai negara-negara Asia Selatan."
163,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Arab Saudi terletak di rantau mana di Asia?","Asia Barat (Timur Tengah)","Asia Selatan","Asia Tengah","Afrika Utara","Buku ini meletakkan Arab Saudi dalam senarai negara-negara Asia Barat (Timur Tengah)."
164,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Nigeria terletak di rantau mana di Afrika?","Afrika Barat","Afrika Utara","Afrika Tengah","Afrika Timur","Buku ini meletakkan Nigeria dalam senarai negara-negara Afrika Barat."
165,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"Itali terletak di rantau mana di Eropah?","Eropah Selatan","Eropah Barat","Eropah Timur","Eropah Utara","Buku ini meletakkan Itali dalam senarai negara-negara Eropah Selatan."
166,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"New Zealand adalah negara utama di benua...?","Oceania","Asia","Amerika Selatan","Eropah","New Zealand disenaraikan sebagai salah satu negara utama di Benua Oceania."
167,Pengetahuan Geografi Dunia,Negara-negara Dunia,MUDAH,"China terletak di benua mana?","Asia","Afrika","Eropah","Amerika Utara","China disenaraikan di bawah sub-kategori Asia Timur dalam Benua Asia."
168,Pengetahuan Geografi Dunia,Benua,SEDERHANA,"Benua manakah yang kedua terbesar dari segi keluasan selepas Asia?","Benua Afrika","Benua Amerika Utara","Benua Amerika Selatan","Benua Eropah","Berdasarkan senarai keluasan, Afrika (30,370,000 km²) adalah yang kedua terbesar selepas Asia (44,579,000 km²)."
169,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Asia Tenggara?","Thailand","Taiwan","Tajikistan","Turki","Buku ini menyenaraikan Thailand sebagai salah satu negara di Asia Tenggara."
170,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Asia Tengah?","Uzbekistan","Pakistan","Mongolia","Iraq","Buku ini menyenaraikan Uzbekistan sebagai salah satu negara di Asia Tengah."
171,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Afrika Timur?","Kenya","Nigeria","Mesir","Angola","Buku ini menyenaraikan Kenya sebagai salah satu negara di Afrika Timur."
172,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Amerika Tengah?","Panama","Mexico","Cuba","Colombia","Buku ini menyenaraikan Panama sebagai salah satu negara di Amerika Tengah, di bawah benua Amerika Utara."
173,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Eropah Utara?","Sweden","Switzerland","Sepanyol","Slovakia","Buku ini menyenaraikan Sweden sebagai salah satu negara di Eropah Utara."
174,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut BUKAN sebuah negara pulau di Oceania?","Australia","Fiji","Samoa","Tonga","Australia adalah sebuah benua dan negara, bukan sekadar negara pulau kecil seperti Fiji, Samoa dan Tonga."
175,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Negara manakah yang terletak di rantau Asia Barat dan juga dikenali sebagai Timur Tengah?","Iraq","India","Indonesia","Iran (walaupun di Asia Barat, Iraq lebih sinonim dengan Timur Tengah dalam konteks umum)","Buku ini mengelompokkan Asia Barat dengan (Timur Tengah), dan Iraq adalah contoh klasik."
176,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Afrika Selatan (rantau)?","Afrika Selatan (negara)","Angola","Kenya","Mesir","Buku ini menyenaraikan negara Afrika Selatan di dalam rantau Afrika Selatan."
177,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Caribbean?","Cuba","Mexico","Kanada","Amerika Syarikat","Buku ini menyenaraikan Cuba sebagai salah satu negara Caribbean, di bawah benua Amerika Utara."
178,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Rusia disenaraikan di bawah rantau Eropah mana dalam buku ini?","Eropah Timur","Eropah Utara","Asia Utara","Eropah Barat","Buku ini meletakkan Rusia dalam senarai negara-negara Eropah Timur."
179,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Asia Selatan?","Bangladesh","Myanmar","Thailand","Vietnam","Buku ini menyenaraikan Bangladesh sebagai salah satu negara di Asia Selatan."
180,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Afrika Tengah?","Republik Congo","Nigeria","Kenya","Libya","Buku ini menyenaraikan Republik Congo sebagai salah satu negara di Afrika Tengah."
181,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut terletak di Amerika Selatan?","Uruguay","Mexico","Cuba","Kanada","Buku ini menyenaraikan Uruguay sebagai salah satu negara di Amerika Selatan."
182,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"United Kingdom (UK) terletak di rantau Eropah mana?","Eropah Utara","Eropah Barat","Eropah Selatan","Eropah Timur","Buku ini mengklasifikasikan UK dalam senarai negara-negara Eropah Utara."
183,Pengetahuan Geografi Dunia,Negara-negara Dunia,SEDERHANA,"Manakah antara negara berikut BUKAN di Asia Timur?","Vietnam","China","Jepun","Korea Selatan","Vietnam terletak di Asia Tenggara, manakala yang lain di Asia Timur."
184,Pengetahuan Geografi Dunia,Benua,SUKAR,"Urutkan benua berikut dari yang paling kecil kepada yang paling besar berdasarkan keluasan: Oceania, Eropah, Antartika.","Oceania, Eropah, Antartika","Eropah, Oceania, Antartika","Antartika, Eropah, Oceania","Oceania, Antartika, Eropah","Keluasan: Oceania (8.5M km²), Eropah (10.1M km²), Antartika (13.7M km²). Ini memerlukan perbandingan data dari buku."
185,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah yang disenaraikan di bawah Asia Barat tetapi secara geografi juga terletak di Eropah?","Turki","Rusia","Kazakhstan","Mesir","Buku ini menyenaraikan Turki di bawah Asia Barat, tetapi ia adalah negara transbenua yang sebahagiannya terletak di Eropah."
186,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah yang BUKAN jiran darat kepada Afrika Selatan?","Angola","Namibia","Botswana","Zimbabwe","Buku ini menyenaraikan negara-negara mengikut rantau. Angola tidak berkongsi sempadan langsung dengan Afrika Selatan; Namibia terletak di antaranya."
187,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah di Amerika Selatan yang tidak bersempadan dengan Brazil?","Chile","Colombia","Peru","Venezuela","Chile adalah satu-satunya negara di Amerika Selatan (selain Ecuador) yang tidak berkongsi sempadan dengan Brazil."
188,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah yang disenaraikan di bawah Eropah Timur tetapi juga mempunyai wilayah yang luas di Asia?","Rusia","Turki","Kazakhstan","Ukraine","Rusia adalah negara transbenua dengan sebahagian besar wilayahnya terletak di Asia (Siberia)."
189,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah yang menjadi sebahagian daripada Asia Tenggara selepas berpisah dari Indonesia?","Timor-Leste","Papua New Guinea","Brunei","Singapura","Buku ini menyenaraikan Timor-Leste di Asia Tenggara. Pengetahuan am menyatakan ia merdeka dari Indonesia."
190,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah di Asia yang namanya bermaksud 'Tanah Orang Kazakh'?","Kazakhstan","Uzbekistan","Kyrgyzstan","Tajikistan","Akhiran '-stan' dalam bahasa Parsi bermaksud 'tanah'. Kazakhstan bermaksud 'Tanah Orang Kazakh'."
191,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah di Afrika yang namanya diambil dari sebuah empayar purba yang terkenal?","Ghana","Mali","Mesir","Sudan","Negara moden Ghana dinamakan sempena Empayar Ghana purba, walaupun lokasinya tidak sama."
192,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah di Eropah yang dipisahkan menjadi dua negara pada tahun 1993, iaitu Czechia dan Slovakia?","Czechoslovakia","Yugoslavia","Jerman Timur","Kesatuan Soviet","Buku ini menyenaraikan Czechia dan Slovakia secara berasingan di Eropah Timur. Pengetahuan am menyatakan mereka berasal dari Czechoslovakia."
193,Pengetahuan Geografi Dunia,Benua,SUKAR,"Keluasan Benua Asia adalah lebih kurang 4 kali ganda keluasan benua mana?","Benua Eropah","Benua Oceania","Benua Antartika","Benua Amerika Selatan","Asia (44.5M km²) adalah lebih kurang 4.4 kali ganda Eropah (10.1M km²). Ini memerlukan pengiraan."
194,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah yang terletak di Asia dan Afrika?","Mesir","Turki","Rusia","Sepanyol","Walaupun disenaraikan di Afrika Utara, Semenanjung Sinai di Mesir secara geografi terletak di Asia."
195,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah di Oceania yang namanya bermaksud 'Tanah Awan Putih Panjang' dalam bahasa peribuminya?","New Zealand","Australia","Fiji","Samoa","'Aotearoa' adalah nama Maori untuk New Zealand dan ia bermaksud 'Tanah Awan Putih Panjang'."
196,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah yang BUKAN sebuah negara Nordik di Eropah Utara?","Jerman","Sweden","Norway","Finland","Jerman terletak di Eropah Barat, manakala yang lain adalah negara Nordik di Eropah Utara."
197,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah di Asia Selatan yang merupakan sebuah kerajaan Himalaya dan terkenal dengan konsep 'Kebahagiaan Negara Kasar'?","Bhutan","Nepal","Sri Lanka","Maldives","Bhutan dikenali di seluruh dunia kerana mengutamakan Kebahagiaan Negara Kasar (Gross National Happiness) berbanding Keluaran Dalam Negara Kasar."
198,Pengetahuan Geografi Dunia,Benua,SUKAR,"Jika anda menggabungkan keluasan Benua Amerika Utara dan Amerika Selatan, ia masih lebih kecil daripada benua mana?","Benua Asia","Benua Afrika","Gabungan Eropah dan Afrika","Tiada, ia yang terbesar","Amerika Utara (24.4M km²) + Amerika Selatan (17.8M km²) = 42.2M km², yang masih lebih kecil daripada Asia (44.5M km²)."
199,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Negara manakah di Eropah Selatan yang terletak di Semenanjung Iberia bersama Sepanyol?","Portugal","Perancis","Itali","Greece","Semenanjung Iberia dikongsi terutamanya oleh Sepanyol dan Portugal."
200,Pengetahuan Geografi Dunia,Negara-negara Dunia,SUKAR,"Berdasarkan senarai, negara manakah di Asia Tenggara yang namanya bermaksud 'Tanah Orang Bebas'?","Thailand","Vietnam","Laos","Kemboja","Nama 'Thailand' dalam bahasa Thai ialah 'Prathet Thai', yang bermaksud 'tanah orang Thai' atau 'tanah orang bebas'."
